county,pop_without_access,percent_total_pop,pop_density,per_capita_income,urban_pop_without_access,percent_urban_pop,urban_pop_density,rural_pop_without_access,percent_rural_pop,rural_pop_density
DeKalb County,"11,313",16%,91.719,"$18,416 ",.,.,"1,639.44","11,313",18%,83.055
Elmore County,"10,634",12%,137.775,"$24,185 ","2,657",7%,"1,185.36","7,977",18%,77.791
Escambia County,"14,317",39%,38.51,"$16,673 ",416,3%,"1,182.74","13,901",60%,24.732
Etowah County,"7,996",8%,193.16,"$20,445 ",843,1%,867.353,"7,153",18%,84.937
Fayette County,"15,808",100%,25.186,"$19,040 ","3,201",100%,"1,136.08","12,607",100%,20.176
Franklin County,"10,258",33%,49.511,"$18,559 ",.,.,"1,416.45","10,258",48%,34.377
Geneva County,"14,308",57%,44.051,"$20,027 ",329,13%,"1,081.98","13,979",62%,39.678
Greene County,"8,036",99%,12.491,"$13,956 ",.,.,.,"8,036",99%,12.491
Hale County,"6,047",41%,22.74,"$18,774 ",.,.,731.942,"6,047",46%,20.336
Henry County,"8,427",51%,29.449,"$22,682 ",55,3%,"1,290.76","8,372",58%,25.768
Houston County,"15,193",14%,187.307,"$23,492 ",391,1%,"1,345.94","14,802",41%,69.176
Jackson County,"6,407",13%,46.828,"$20,055 ",.,.,901.651,"6,407",17%,36.349
Jefferson County,"41,205",6%,585.627,"$26,896 ","28,952",5%,"1,460.79","12,253",19%,90.564
Lamar County,"8,799",68%,21.528,"$19,094 ",.,.,.,"8,799",68%,21.528
Lauderdale County,"30,528",32%,142.196,"$23,975 ","4,847",10%,"1,327.73","25,681",55%,74.027
Lawrence County,"13,142",40%,47.274,"$21,093 ",.,.,859.15,"13,142",44%,43.305
Lee County,"4,246",3%,253.898,"$24,126 ",53,0%,"1,449.40","4,193",10%,78.402
Limestone County,"8,585",9%,164.837,"$25,658 ",299,1%,"1,002.07","8,286",16%,102.181
Lowndes County,"9,205",90%,14.305,"$18,046 ",.,.,.,"9,205",90%,14.305
Macon County,"6,818",34%,32.696,"$17,113 ",.,.,919.886,"6,818",62%,18.294
Madison County,"26,893",7%,456.649,"$32,307 ","13,308",4%,"1,525.42","13,585",23%,97.577
Marengo County,"17,268",90%,19.615,"$22,529 ","6,078",100%,"1,200.39","11,190",86%,13.463
Marion County,"25,511",88%,38.89,"$20,125 ","3,253",100%,689.028,"22,258",87%,34.729
Marshall County,"5,406",5%,174.71,"$20,975 ",.,.,"1,120.29","5,406",10%,98.903
Mobile County,"44,842",10%,348.316,"$23,009 ","20,951",6%,"1,501.91","23,891",28%,85.651
Monroe County,"10,028",47%,20.697,"$16,273 ",58,1%,870.425,"9,970",60%,16.416
Montgomery County,"7,143",3%,301.395,"$25,089 ",914,0%,"1,969.65","6,229",27%,34.403
Morgan County,"13,025",11%,213.209,"$24,222 ",115,0%,"1,233.99","12,910",27%,91.102
Perry County,"9,579",100%,13.31,"$12,988 ",.,.,.,"9,579",100%,13.31
Pickens County,"17,971",98%,20.803,"$17,310 ",.,.,.,"17,971",98%,20.803
Pike County,"3,409",10%,48.812,"$19,424 ",197,1%,"1,350.19","3,212",20%,24.653
Randolph County,"13,305",61%,37.783,"$19,324 ",.,.,951.535,"13,305",74%,31.068
Russell County,"4,320",8%,86.251,"$19,652 ",.,.,"1,520.10","4,320",23%,31.087
St. Clair County,"35,330",37%,149.134,"$23,863 ","12,313",47%,"1,076.23","23,017",34%,112.26
Shelby County,"19,865",9%,279.892,"$33,135 ","3,291",2%,"1,365.12","16,574",35%,72.283
Sumter County,"7,491",58%,14.331,"$14,042 ",.,.,.,"7,491",58%,14.331
Talladega County,"21,169",26%,109.548,"$19,134 ",66,0%,897.487,"21,103",47%,64.253
Tallapoosa County,"3,131",8%,56.689,"$21,034 ",116,1%,"1,008.09","3,015",10%,42.5
Tuscaloosa County,"20,786",10%,158.8,"$23,124 ","11,303",7%,"1,619.97","9,483",18%,43.514
Walker County,"17,808",28%,81.485,"$20,580 ",.,.,665.151,"17,808",37%,62.55
Washington County,"14,366",87%,15.288,"$20,737 ",.,.,.,"14,366",87%,15.288
Wilcox County,"7,570",68%,12.455,"$13,881 ",.,.,.,"7,570",68%,12.455
Winston County,"19,943",85%,38.363,"$19,078 ","1,608",47%,960.012,"18,335",91%,32.941
Alaska,"194,375",26%,1.312,.,"26,389",5%,"1,915.57","167,986",67%,0.439
Aleutians East Borough,"2,501",100%,0.358,"$27,122 ",.,.,.,"2,501",100%,0.358
Aleutians West Census Area,"4,241",100%,0.966,"$32,700 ",.,.,.,"4,241",100%,0.966
Anchorage Municipality,"2,733",1%,180.274,"$36,508 ",655,0%,"2,906.12","2,078",16%,8.054
Bethel Census Area,"16,679",100%,0.411,"$18,875 ","4,481",100%,"1,850.00","12,198",100%,0.301
Bristol Bay Borough,809,100%,1.606,"$37,012 ",.,.,.,809,100%,1.606
Denali Borough,"1,725",100%,0.135,"$36,828 ",.,.,.,"1,725",100%,0.135
Dillingham Census Area,"4,566",100%,0.246,"$21,774 ",.,.,.,"4,566",100%,0.246
Fairbanks North Star Borough,"16,521",16%,14.033,"$32,906 ",747,1%,"1,145.93","15,774",48%,4.49
Haines Borough,"2,519",100%,1.086,"$32,312 ",.,.,.,"2,519",100%,1.086
Hoonah-Angoon Census Area,"2,057",100%,0.273,"$30,811 ",.,.,.,"2,057",100%,0.273
Juneau City and Borough,168,1%,11.986,"$38,057 ",.,.,"1,809.01",168,2%,2.609
Kenai Peninsula Borough,"28,544",49%,3.598,"$31,611 ",179,1%,958.28,"28,365",62%,2.853
Ketchikan Gateway Borough,58,0%,2.968,"$31,494 ",.,.,"1,883.77",58,2%,0.696
Kodiak Island Borough,"13,562",100%,2.071,"$29,993 ","10,055",100%,"2,915.50","3,507",100%,0.536
Lake and Peninsula Borough,"1,514",100%,0.064,"$21,581 ",.,.,.,"1,514",100%,0.064
Matanuska-Susitna Borough,"29,034",27%,4.376,"$30,013 ",528,1%,"1,027.68","28,506",53%,2.194
Nome Census Area,"8,407",100%,0.366,"$19,651 ","2,844",100%,"2,735.84","5,563",100%,0.242
North Slope Borough,"9,614",100%,0.108,"$50,267 ","3,622",100%,"4,555.71","5,992",100%,0.068
Northwest Arctic Borough,"7,915",100%,0.223,"$21,543 ","3,278",100%,"3,492.89","4,637",100%,0.13
Petersburg Census Area,"3,739",100%,1.139,"$36,307 ",.,.,.,"3,739",100%,1.139
Prince of Wales-Hyder Census Area,"5,275",100%,1.345,"$24,737 ",.,.,.,"5,275",100%,1.345
Sitka City and Borough,164,2%,3.109,"$33,920 ",.,.,"1,745.06",164,9%,0.646
Skagway Municipality,804,100%,1.777,"$40,986 ",.,.,.,804,100%,1.777
Southeast Fairbanks Census Area,"7,406",98%,0.306,"$30,402 ",.,.,.,"7,406",98%,0.306
Valdez-Cordova Census Area,"8,584",100%,0.251,"$32,610 ",.,.,.,"8,584",100%,0.251
Wade Hampton Census Area,"8,186",100%,0.479,"$11,257 ",.,.,.,"8,186",100%,0.479
Wrangell City and Borough,"1,952",100%,0.768,"$30,671 ",.,.,.,"1,952",100%,0.768
Yakutat City and Borough,568,100%,0.074,"$33,475 ",.,.,.,568,100%,0.074
Yukon-Koyukuk Census Area,"4,530",100%,0.031,"$20,149 ",.,.,.,"4,530",100%,0.031
American Samoa,"54,504",100%,712.881,.,"41,307",100%,"1,372.50","13,197",100%,284.665
Eastern,"29,843",100%,"1,161.59",.,"25,748",100%,"1,692.35","4,095",100%,390.848
Manu'a,"4,815",100%,216.045,.,.,.,.,"4,815",100%,216.045
Rose Island,4,100%,126.198,.,.,.,.,4,100%,126.198
Swains Island,117,100%,124.57,.,.,.,.,117,100%,124.57
Western,"19,725",100%,717.107,.,"15,559",100%,"1,045.50","4,166",100%,329.992
Arizona,"898,724",13%,60.439,.,"487,930",8%,"2,841.75","410,794",63%,5.85
Apache County,"66,213",100%,5.913,"$12,828 ","18,593",100%,"1,083.18","47,620",100%,4.259
Cochise County,"47,975",36%,21.364,"$23,552 ","21,154",25%,"1,978.64","26,821",58%,7.53
Coconino County,"51,345",39%,7.095,"$23,459 ","24,471",26%,"1,965.35","26,874",69%,2.087
Gila County,"20,088",38%,11.068,"$20,857 ","6,530",21%,"1,599.25","13,558",63%,4.553
Graham County,"12,210",31%,8.606,"$17,687 ","1,443",7%,"1,541.55","10,767",59%,3.969
Greenlee County,"3,469",40%,4.686,"$22,334 ",105,2%,"1,448.22","3,364",89%,2.045
La Paz County,"13,209",70%,4.17,"$21,772 ","5,185",62%,"1,387.71","8,024",77%,2.318
Maricopa County,"282,959",7%,448.856,"$27,477 ","230,803",6%,"3,374.28","52,156",55%,11.882
Mohave County,"41,876",20%,15.554,"$20,709 ","12,430",8%,"1,737.05","29,446",66%,3.401
Navajo County,"54,335",52%,10.42,"$16,355 ","13,159",27%,"1,148.45","41,176",76%,5.473
Pima County,"88,565",9%,113.077,"$25,524 ","53,539",6%,"2,429.99","35,026",46%,8.7
Pinal County,"126,647",28%,83.171,"$20,983 ","61,430",17%,"2,968.25","65,217",72%,17.201
Santa Cruz County,"9,657",19%,41.251,"$17,900 ","1,700",4%,"1,456.89","7,957",66%,10.022
Yavapai County,"43,597",19%,27.774,"$25,068 ","15,064",10%,"1,662.90","28,533",40%,8.947
Yuma County,"36,579",17%,38.735,"$18,887 ","22,324",12%,"2,813.16","14,255",70%,3.721
Arkansas,"744,572",25%,57.938,.,"128,125",7%,"1,588.83","616,447",48%,24.969
Arkansas County,"15,519",93%,16.901,"$23,237 ","10,168",90%,"1,539.23","5,351",99%,5.533
Ashley County,"8,949",44%,21.819,"$19,739 ","2,767",28%,917.338,"6,182",60%,11.288
Baxter County,"13,927",32%,79.387,"$21,693 ",445,3%,"1,368.74","13,482",47%,53.228
Benton County,"28,596",11%,306.505,"$27,522 ","3,410",2%,"1,563.96","25,186",41%,85.51
Boone County,"8,634",22%,65.652,"$21,348 ",51,0%,"1,311.90","8,583",36%,41.549
Bradley County,"10,479",100%,16.185,"$20,243 ","5,480",100%,888.534,"4,999",99%,7.819
Calhoun County,"4,575",96%,7.542,"$19,755 ",.,.,.,"4,575",96%,7.542
Carroll County,"8,115",29%,44.189,"$20,604 ",201,3%,"1,355.27","7,914",40%,32.041
Chicot County,"7,943",81%,15.285,"$19,311 ","2,662",60%,"1,146.04","5,281",98%,8.396
Clark County,"5,437",24%,25.993,"$18,709 ",834,8%,"1,844.67","4,603",39%,13.742
Clay County,"11,155",80%,21.729,"$18,434 ","4,488",74%,"1,477.46","6,667",85%,12.328
Cleburne County,"10,320",39%,47.696,"$24,297 ",130,2%,"1,388.54","10,190",51%,36.129
Cleveland County,"8,059",97%,13.93,"$21,666 ",.,.,.,"8,059",97%,13.93
Columbia County,"10,031",44%,29.642,"$19,893 ",503,5%,"1,347.83","9,528",76%,16.596
Conway County,.,.,38.579,"$21,742 ",.,.,"1,101.06",.,.,27.532
Craighead County,"13,863",13%,149.087,"$23,244 ","3,823",5%,"1,549.92","10,040",31%,49.482
Crawford County,"9,433",14%,112.024,"$20,104 ",608,2%,"1,663.25","8,825",26%,59.106
Crittenden County,"10,166",20%,85.26,"$19,732 ","2,643",6%,"1,851.86","7,523",79%,16.279
Cross County,"3,835",23%,26.946,"$18,919 ",.,.,"1,589.82","3,835",42%,15.035
Dallas County,"1,479",22%,10.014,"$18,261 ",60,2%,786.924,"1,419",42%,5.127
Desha County,"10,528",95%,14.472,"$19,300 ","7,507",96%,"1,371.25","3,021",93%,4.273
Drew County,"17,820",100%,21.578,"$17,433 ","9,682",100%,995.508,"8,138",99%,9.997
Faulkner County,"3,589",3%,198.193,"$24,703 ","1,850",2%,"1,779.33","1,739",4%,80.703
Franklin County,"16,224",92%,29.002,"$20,021 ","2,838",89%,"1,244.69","13,386",93%,23.853
Fulton County,"11,090",96%,18.599,"$19,216 ",743,100%,964.24,"10,347",96%,17.419
Garland County,"2,704",3%,147.534,"$23,514 ",170,0%,"1,159.19","2,534",7%,60.37
Grant County,"3,639",20%,29.11,"$22,065 ",30,1%,"1,344.02","3,609",26%,21.878
Greene County,"13,328",30%,77.296,"$20,188 ",.,.,"1,339.08","13,328",74%,32.403
Hempstead County,"7,622",36%,29.139,"$17,866 ",11,0%,"1,295.31","7,611",66%,16.083
Hot Spring County,"16,690",50%,54.408,"$19,819 ","2,055",18%,"1,195.63","14,635",66%,36.438
Howard County,"10,515",85%,20.917,"$20,341 ","3,580",85%,"1,244.42","6,935",85%,13.874
Independence County,"16,379",44%,48.643,"$20,222 ",148,1%,"1,266.63","16,231",64%,33.79
Izard County,"12,504",100%,21.537,"$18,650 ",.,.,.,"12,504",100%,21.537
Jackson County,"4,813",29%,26.103,"$15,860 ",163,3%,"1,264.37","4,650",43%,17.186
Jefferson County,"21,214",29%,83.392,"$19,847 ","3,514",7%,"1,360.94","17,700",80%,26.406
Johnson County,"12,979",49%,40.218,"$18,993 ",233,3%,"1,181.90","12,746",69%,28.447
Lafayette County,"6,432",100%,12.176,"$17,707 ",.,.,.,"6,432",100%,12.176
Lawrence County,"9,069",56%,27.45,"$17,064 ",210,3%,"1,632.64","8,859",88%,17.266
Lee County,"4,711",52%,14.955,"$13,297 ",.,.,"1,572.59","4,711",83%,9.416
Lincoln County,"13,537",100%,24.108,"$14,501 ",.,.,.,"13,537",100%,24.108
Little River County,"11,988",100%,22.523,"$20,073 ","3,885",100%,"1,086.18","8,103",100%,15.327
Logan County,"21,458",100%,30.303,"$20,114 ","6,091",100%,"1,321.10","15,367",100%,21.843
Lonoke County,"18,895",24%,100.43,"$23,339 ","9,246",21%,"1,479.12","9,649",29%,45.545
Madison County,"11,577",69%,19.976,"$19,930 ",.,.,.,"11,577",69%,19.976
Marion County,"12,679",76%,28.082,"$17,429 ",.,.,.,"12,679",76%,28.082
Miller County,"6,730",15%,69.988,"$20,853 ",24,0%,"1,272.83","6,706",37%,29.949
Mississippi County,"10,813",24%,49.606,"$18,732 ","3,340",12%,"1,951.94","7,473",48%,17.728
Monroe County,"3,640",57%,10.579,"$17,571 ",.,.,981.84,"3,640",82%,7.297
Montgomery County,"2,335",26%,11.604,"$18,698 ",.,.,.,"2,335",26%,11.604
Nevada County,"4,428",57%,12.51,"$18,254 ",.,.,"1,323.47","4,428",84%,8.549
Newton County,"6,893",90%,9.368,"$18,127 ",.,.,.,"6,893",90%,9.368
Ouachita County,"8,046",34%,32.181,"$19,358 ",.,.,882.182,"8,046",61%,18.196
Perry County,864,9%,18.134,"$22,534 ",.,.,.,864,9%,18.134
Phillips County,"3,968",21%,26.994,"$17,848 ",412,4%,"1,654.46","3,556",41%,12.483
Pike County,"2,270",21%,17.792,"$18,695 ",.,.,.,"2,270",21%,17.792
Poinsett County,"11,141",47%,31.356,"$17,110 ",272,4%,"1,852.46","10,869",66%,21.943
Polk County,"16,604",84%,23.076,"$19,412 ","5,259",100%,"1,108.06","11,345",78%,17.039
Pope County,"8,854",13%,80.942,"$20,465 ",774,3%,"1,400.53","8,080",23%,44.817
Prairie County,"7,178",100%,11.121,"$18,977 ",.,.,.,"7,178",100%,11.121
Pulaski County,"18,468",5%,521.502,"$27,506 ","12,683",4%,"1,955.69","5,785",12%,82.772
Randolph County,"7,425",43%,26.638,"$19,528 ",202,3%,"1,951.15","7,223",63%,17.646
St. Francis County,"9,941",38%,41.432,"$16,076 ",.,.,"2,325.05","9,941",78%,20.286
Saline County,"13,849",11%,167.166,"$26,179 ","3,895",5%,"1,309.56","9,954",23%,64.788
Scott County,"10,199",94%,12.164,"$18,525 ","3,119",96%,"1,271.31","7,080",93%,8.536
Searcy County,"1,484",19%,11.745,"$17,590 ",.,.,.,"1,484",19%,11.745
Sebastian County,"7,857",6%,245.889,"$23,768 ","1,796",2%,"1,882.36","6,061",23%,55.293
Sevier County,"2,313",13%,31.411,"$16,266 ",112,2%,"1,639.70","2,201",20%,19.38
Sharp County,"10,798",67%,26.61,"$16,906 ",.,.,467.736,"10,798",83%,21.639
Stone County,"12,703",100%,20.948,"$19,985 ",.,.,.,"12,703",100%,20.948
Union County,"11,329",29%,37.745,"$21,911 ",200,1%,"1,193.03","11,129",53%,20.64
Van Buren County,"10,357",60%,24.554,"$18,727 ",.,.,.,"10,357",60%,24.554
Washington County,"15,583",7%,239.104,"$24,018 ","4,902",3%,"2,278.14","10,681",20%,61.33
White County,"22,499",27%,80.184,"$22,132 ",586,2%,"1,269.35","21,913",49%,44.563
Woodruff County,"5,656",100%,9.639,"$17,296 ",.,.,.,"5,656",100%,9.639
Yell County,"7,848",35%,24.277,"$18,170 ",320,7%,"1,926.47","7,528",43%,19.051
California,"2,017,166",5%,248.178,.,"920,182",2%,"4,484.18","1,096,984",61%,12.226
Alameda County,.,.,"2,088.78","$36,439 ",.,.,"5,670.80",.,.,11.495
Alpine County,800,90%,1.203,"$24,375 ",.,.,.,800,90%,1.203
Amador County,"28,219",76%,62.644,"$27,373 ","8,037",54%,"1,923.08","20,182",90%,38.206
Butte County,"25,582",12%,134.692,"$24,430 ","3,659",2%,"2,136.72","21,923",55%,25.768
Calaveras County,"12,958",29%,43.925,"$29,296 ",369,3%,"1,087.05","12,589",38%,33.223
Colusa County,"13,693",66%,18.144,"$22,211 ","8,405",55%,"3,073.51","5,288",93%,4.956
Contra Costa County,"10,155",1%,"1,496.41","$38,770 ","8,002",1%,"3,480.73","2,153",30%,17.236
Del Norte County,"1,499",5%,29.24,"$19,424 ",.,.,"1,663.76","1,499",16%,9.718
El Dorado County,"41,344",23%,105.158,"$35,128 ","2,693",2%,"1,578.81","38,651",64%,37.187
Fresno County,"135,535",14%,165.969,"$20,231 ","52,848",6%,"4,153.60","82,687",82%,17.631
Glenn County,"9,347",34%,20.818,"$21,698 ","2,001",12%,"1,953.99","7,346",68%,8.307
Humboldt County,"26,824",21%,36.191,"$23,516 ","3,294",4%,"2,021.37","23,530",63%,10.556
Imperial County,"27,618",14%,46.136,"$16,409 ","4,600",3%,"3,839.71","23,018",77%,7.188
Inyo County,"4,664",28%,1.654,"$27,028 ",174,2%,"2,198.66","4,490",60%,0.734
Kern County,"145,082",16%,113.081,"$20,467 ","75,063",9%,"3,796.32","70,019",83%,10.684
Kings County,"48,172",30%,115.968,"$18,518 ","36,425",25%,"3,683.48","11,747",74%,11.79
Lake County,"8,985",14%,49.672,"$21,310 ","1,278",3%,"1,620.44","7,707",40%,15.677
Lassen County,"21,231",62%,7.551,"$19,847 ",934,9%,"1,893.67","20,297",84%,5.338
Los Angeles County,"58,377",1%,"2,488.67","$27,987 ","36,426",0%,"7,058.30","21,951",39%,21.119
Madera County,"52,015",32%,75.497,"$17,797 ","5,340",5%,"2,824.69","46,675",94%,23.591
Marin County,"8,837",3%,493.218,"$58,004 ","1,498",1%,"2,972.16","7,339",45%,37.413
Mariposa County,"17,501",100%,12.089,"$28,327 ",.,.,.,"17,501",100%,12.089
Mendocino County,"25,603",30%,24.137,"$23,712 ","2,754",6%,"1,643.60","22,849",62%,10.631
Merced County,"46,205",17%,138.909,"$18,464 ","17,763",8%,"3,325.31","28,442",80%,19.179
Modoc County,"7,173",89%,2.056,"$21,830 ","2,431",100%,"1,275.90","4,742",84%,1.436
Mono County,"12,492",89%,4.603,"$29,578 ","7,082",86%,"2,478.93","5,410",93%,1.904
Monterey County,"112,809",26%,131.058,"$25,048 ","98,229",25%,"3,670.07","14,580",38%,11.987
Napa County,"12,033",9%,186.964,"$35,092 ","4,788",4%,"3,023.42","7,245",44%,23.491
Nevada County,"27,214",28%,101.056,"$32,117 ","4,064",7%,"1,204.39","23,150",57%,44.291
Orange County,"57,658",2%,"3,915.33","$34,416 ","56,709",2%,"5,900.61",949,22%,15.901
Placer County,"46,071",12%,264.808,"$35,711 ","17,543",5%,"2,282.70","28,528",60%,37.579
Plumas County,"17,458",100%,6.838,"$29,167 ","4,639",100%,"1,260.95","12,819",100%,5.028
Riverside County,"98,430",4%,338.098,"$23,660 ","38,502",2%,"3,291.36","59,928",58%,15.821
Sacramento County,"32,794",2%,"1,491.23","$27,071 ","28,075",2%,"4,285.30","4,719",17%,44.098
San Benito County,985,2%,39.59,"$26,317 ",8,0%,"3,764.56",977,8%,8.638
San Bernardino County,"93,590",4%,106.397,"$21,384 ","43,562",2%,"3,273.93","50,028",59%,4.376
San Diego County,"156,728",5%,760.091,"$31,043 ","106,259",3%,"4,074.93","50,469",51%,28.84
San Francisco County,.,.,"18,107.90","$49,986 ",.,.,"18,188.05",.,.,0
San Joaquin County,"37,037",5%,507.679,"$22,642 ","11,082",2%,"4,168.40","25,955",46%,45.639
San Luis Obispo County,"36,849",13%,84.088,"$30,392 ","13,149",6%,"2,387.01","23,700",53%,13.874
San Mateo County,"3,028",0%,"1,672.44","$47,198 ","1,616",0%,"5,232.01","1,412",11%,43.139
Santa Barbara County,"32,031",7%,159.296,"$30,526 ","21,329",5%,"3,920.07","10,702",53%,7.706
Santa Clara County,510,0%,"1,472.15","$42,666 ",.,.,"5,683.96",510,3%,19.864
Santa Cruz County,.,.,604.079,"$33,050 ",.,.,"3,007.13",.,.,83.593
Shasta County,"40,845",24%,45.914,"$23,763 ","2,024",2%,"1,636.33","38,821",81%,13.034
Sierra County,"2,629",98%,2.803,"$28,030 ",.,.,985.429,"2,629",99%,2.796
Siskiyou County,"39,603",97%,6.531,"$22,482 ","14,811",100%,"1,207.14","24,792",95%,4.18
Solano County,"30,031",7%,490.452,"$29,132 ","21,275",5%,"3,418.25","8,756",63%,19.736
Sonoma County,"22,444",5%,307.34,"$33,361 ","8,064",2%,"2,981.60","14,380",26%,38.41
Stanislaus County,"30,240",6%,350.851,"$21,729 ","4,039",1%,"4,063.12","26,201",68%,28.146
Sutter County,"8,052",8%,166.347,"$23,828 ","1,068",1%,"3,554.62","6,984",53%,22.923
Tehama County,"28,823",45%,21.649,"$21,002 ","4,884",16%,"1,919.85","23,939",73%,11.15
Trinity County,"13,313",100%,4.187,"$23,145 ",.,.,.,"13,313",100%,4.187
Tulare County,"171,588",36%,99.309,"$17,888 ","110,310",27%,"3,679.71","61,278",90%,14.413
Tuolumne County,"17,346",33%,23.443,"$26,063 ","1,796",7%,856.127,"15,550",61%,11.577
Ventura County,"16,930",2%,458.051,"$33,308 ","7,047",1%,"3,689.76","9,883",41%,14.993
Yolo County,"24,982",12%,208.155,"$28,080 ","13,846",7%,"4,230.22","11,136",83%,13.829
Yuba County,"15,204",19%,123.82,"$19,586 ",388,1%,"3,166.44","14,816",76%,31.602
Colorado,"539,327",10%,51.443,.,"180,754",4%,"3,043.48","358,573",53%,6.68
Adams County,"27,472",6%,420.443,"$24,667 ","20,387",4%,"3,368.46","7,085",40%,17.055
Alamosa County,.,.,20.779,"$19,481 ",.,.,"1,334.17",.,.,7.391
Arapahoe County,"14,591",2%,761.839,"$33,574 ","7,637",1%,"3,913.43","6,954",74%,14.551
Archuleta County,"12,320",100%,9.125,"$28,506 ","5,216",100%,981.01,"7,104",100%,5.282
Baca County,"2,498",100%,0.98,"$22,558 ",.,.,.,"2,498",100%,0.98
Bent County,"5,644",99%,3.77,"$15,402 ","3,679",99%,"2,646.44","1,965",100%,1.305
Boulder County,"19,654",6%,421.384,"$38,524 ","9,872",4%,"3,287.00","9,782",38%,39.696
Broomfield County,"2,822",5%,"1,889.15","$38,706 ","2,782",4%,"2,677.46",40,12%,33.004
Chaffee County,"5,180",31%,16.673,"$27,467 ","1,587",15%,"1,211.94","3,593",57%,6.267
Cheyenne County,"1,209",100%,0.68,"$23,415 ",.,.,.,"1,209",100%,0.68
Clear Creek County,"2,704",33%,20.907,"$42,446 ",.,.,.,"2,704",33%,20.907
Conejos County,302,4%,5.631,"$18,247 ",.,.,.,302,4%,5.631
Costilla County,"1,416",55%,2.109,"$20,592 ",.,.,.,"1,416",55%,2.109
Crowley County,"5,548",100%,7.076,"$11,726 ",.,.,.,"5,548",100%,7.076
Custer County,115,3%,5.101,"$25,842 ",.,.,.,115,3%,5.101
Delta County,"17,600",55%,27.857,"$24,590 ","3,390",29%,"1,312.50","14,210",71%,17.752
Denver County,"18,343",3%,"4,282.22","$34,423 ","18,343",3%,"5,998.76",.,.,0
Dolores County,"1,619",87%,1.744,"$21,543 ",.,.,.,"1,619",87%,1.744
Douglas County,"16,197",5%,385.811,"$44,105 ","3,824",1%,"2,915.94","12,373",39%,43.404
Eagle County,"13,248",23%,34.844,"$39,355 ","9,930",21%,"2,329.52","3,318",31%,6.503
Elbert County,"12,177",54%,12.257,"$36,421 ",.,.,.,"12,177",54%,12.257
El Paso County,"53,513",8%,309.287,"$29,314 ","26,100",4%,"3,129.57","27,413",48%,29.357
Fremont County,"4,725",11%,28.967,"$19,161 ","2,639",8%,"1,455.14","2,086",20%,6.963
Garfield County,"13,901",22%,21.505,"$27,022 ","5,746",12%,"2,789.12","8,155",56%,4.935
Gilpin County,"3,506",64%,36.752,"$37,375 ",.,.,.,"3,506",64%,36.752
Grand County,"6,131",42%,7.956,"$31,713 ",112,4%,"1,211.97","6,019",50%,6.496
Gunnison County,"1,314",9%,4.641,"$27,070 ",.,.,"1,949.01","1,314",15%,2.704
Hinsdale County,728,100%,0.652,"$36,046 ",.,.,.,728,100%,0.652
Huerfano County,"1,042",20%,3.209,"$23,440 ",.,.,"1,243.32","1,042",34%,1.925
